,w,i,e,d,r,a,u,f,n,h,m, ,s,t,z,g,p,o,c,k,l,ã,¤,",",1,7,.,b,¼,j,ÿ,¶,"""",-,v,(,),x,?,4,3,6,q,!,y,9,8,­,¡,0,„,:,³,;,5,2,/,–,%,œ,â,º,©
"('h', 'm')",0.0,0.05511811023622047,0.8346456692913385,0.0,0.0,0.05511811023622047,0.0,0.0,0.0,0.0,0.0,0.03937007874015748,0.0,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('m', 'e')",0.0,0.203125,0.002403846153846154,0.001201923076923077,0.08052884615384616,0.0,0.0,0.0,0.5192307692307693,0.06370192307692307,0.0,0.08052884615384616,0.018028846153846152,0.007211538461538462,0.0,0.0,0.0,0.0,0.002403846153846154,0.0,0.007211538461538462,0.0,0.0,0.008413461538461538,0.0,0.0,0.003605769230769231,0.001201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('e', ' ')",0.0292341912932952,0.08134731490308231,0.06736574515411503,0.09628217349857007,0.032411820781696854,0.0877025738798856,0.038449316809659996,0.043533523991102635,0.02669208770257388,0.027963139497934542,0.05020654591674611,0.0,0.07244995233555768,0.011757229107086114,0.036542739116619004,0.0374960279631395,0.037178265014299335,0.0073085478233238,0.0022243406418811567,0.048299968223705116,0.02319669526533206,0.019065776930409915,0.0,0.0,0.0015888147442008262,0.0,0.0,0.05783285668891007,0.0,0.005719733079122974,0.0,0.0,0.0009532888465204957,0.004130918334922148,0.04957102001906578,0.00031776294884016526,0.0,0.0,0.0,0.0,0.0,0.0,0.001271051795360661,0.0,0.0,0.0009532888465204957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031776294884016526,0.0006355258976803305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(' ', 'd')",0.0,0.3257737459978655,0.4394343649946638,0.0,0.005602988260405549,0.20304162219850588,0.014140875133404483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096051227321238,0.0,0.0,0.0,0.0021344717182497333,0.0,0.0,0.0,0.0,0.00026680896478121667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('r', ' ')",0.04207337596768765,0.040727027936721644,0.07943453382699428,0.11982497475597442,0.03736115785930663,0.08280040390440929,0.03635139683608213,0.03433187478963312,0.021541568495456076,0.029283069673510603,0.038370918882531135,0.0,0.08246381689666779,0.015819589363850556,0.02288791652642208,0.04039044092898014,0.05015146415348368,0.005048805116122518,0.003365870077415012,0.0562100302928307,0.02288791652642208,0.012117132278694043,0.0,0.0003365870077415012,0.0023561090541905083,0.0,0.0,0.05890272635476271,0.0,0.004039044092898014,0.0,0.0,0.0003365870077415012,0.0010097610232245036,0.05452709525412319,0.0,0.0,0.0,0.0,0.0003365870077415012,0.0,0.0003365870077415012,0.0013463480309660047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003365870077415012,0.0026926960619320095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(' ', 's')",0.001349527665317139,0.2941970310391363,0.13900134952766532,0.0,0.002699055330634278,0.0310391363022942,0.009446693657219974,0.0,0.0,0.0,0.0,0.0,0.0,0.19635627530364372,0.0,0.0,0.030364372469635626,0.17071524966261808,0.1126855600539811,0.0006747638326585695,0.0,0.006747638326585695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004723346828609987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('s', 'i')",0.0,0.0,0.20366598778004075,0.11608961303462322,0.0,0.0,0.0,0.002036659877800407,0.13136456211812628,0.0,0.0010183299389002036,0.0010183299389002036,0.010183299389002037,0.05804480651731161,0.0,0.034623217922606926,0.0,0.19144602851323828,0.24236252545824846,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0050916496945010185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('i', 't')",0.002398081534772182,0.12629896083133493,0.1223021582733813,0.0,0.029576338928856916,0.011191047162270184,0.032773780975219824,0.0007993605115907274,0.0007993605115907274,0.0007993605115907274,0.0,0.28617106314948043,0.08952837729816147,0.09112709832134293,0.019184652278177457,0.04396482813749001,0.004796163069544364,0.006394884092725819,0.0,0.0,0.05515587529976019,0.047961630695443645,0.0,0.020783373301358914,0.0,0.0,0.003996802557953637,0.003996802557953637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('t', 'z')",0.0,0.018315018315018316,0.2454212454212454,0.0,0.003663003663003663,0.003663003663003663,0.25274725274725274,0.0,0.0,0.0,0.0,0.11355311355311355,0.003663003663003663,0.29304029304029305,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('z', 'u')",0.00796812749003984,0.0,0.006640106241699867,0.00398406374501992,0.1248339973439575,0.0013280212483399733,0.0,0.01195219123505976,0.11819389110225764,0.00796812749003984,0.0796812749003984,0.40239043824701193,0.1102257636122178,0.006640106241699867,0.00398406374501992,0.043824701195219126,0.0,0.0,0.0,0.02257636122177955,0.017264276228419653,0.0,0.0,0.00796812749003984,0.0,0.0,0.0026560424966799467,0.010624169986719787,0.0,0.0,0.0,0.0,0.0,0.0013280212483399733,0.00796812749003984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
