,r,e,a,n,u,d,c,i,ã,³, ,l,p,­,o,s,m,t,",",v,1,7,b,y,±,q,h,.,g,"""",f,2,0,¡,x,z,(,),k,â,¿,©,?,4,3,j,6,-,º,9,8,:,;,5,¤,/,w,%,!,[,],‰,¼,š
 ,0.0315265274851561,0.1309327714997127,0.06849262593372916,0.023673625742194983,0.025512353955181,0.12296494924343995,0.07186362765753687,0.021490135989274087,0.003792376939283662,0.0,0.0,0.10097682436314882,0.09308561578241716,0.0,0.0153993487837579,0.06887569431143459,0.03665964374640873,0.03275234629381345,0.00011492051331162612,0.010457766711357978,0.0031028538594139055,7.661367554108408e-05,0.006895230798697568,0.028576900976824363,0.0,0.042980271978548173,0.023941773606588775,3.830683777054204e-05,0.008619038498371959,0.00022984102662325224,0.016280406052480368,0.0021834897529208965,3.830683777054204e-05,0.0,7.661367554108408e-05,0.0011875119708868033,0.0005746025665581306,0.0,0.0006129094043286727,0.0002681478643937943,0.0,0.0,0.0,0.00022984102662325224,0.0001915341888527102,0.0019919555640681864,7.661367554108408e-05,0.0022217965906914383,0.0,0.0001915341888527102,0.00030645470216433634,0.00011492051331162612,0.0,0.00011492051331162612,0.0,0.0,0.0002681478643937943,0.0,0.0,3.830683777054204e-05,0.0,0.0,0.0,0.0
l,0.0001448016217781639,0.10889081957717926,0.3433246452360266,0.0,0.021575441644946423,0.0028960324355632784,0.0014480162177816392,0.057486243845931075,0.02099623515783377,0.0,0.2206776715899218,0.02476107732406603,0.0004344048653344917,0.0,0.13756154068925572,0.0005792064871126556,0.008977700550246163,0.01954821894005213,0.008398494063133507,0.00333043730089777,0.0,0.0,0.0001448016217781639,0.0002896032435563278,0.0,0.0008688097306689834,0.0,0.006805676223573704,0.009122502172024326,0.0,0.0005792064871126556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005792064871126556,0.0,0.0,0.0,0.0001448016217781639,0.0004344048653344917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.2271853986551393,0.1690682036503362,0.1690682036503362,0.0,0.061719500480307395,0.0,0.002161383285302594,0.031940441882804996,0.00888568683957733,0.0,0.00024015369836695484,0.06556195965417867,0.001440922190201729,0.0,0.24975984630163303,0.0004803073967339097,0.0,0.012007684918347743,0.0,0.0,0.0,0.0,0.0,0.00024015369836695484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024015369836695484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
­,0.008771929824561403,0.0029239766081871343,0.4239766081871345,0.03654970760233918,0.0,0.013157894736842105,0.04824561403508772,0.0,0.0,0.0,0.08625730994152046,0.0,0.0,0.0,0.049707602339181284,0.0847953216374269,0.005847953216374269,0.17690058479532164,0.029239766081871343,0.0029239766081871343,0.0,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.021929824561403508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o,0.13000252759288905,0.0018535681186283596,0.0002527592889038672,0.12907574353357487,0.0002527592889038672,0.026960990816412504,0.02451765102367512,0.0004212654815064454,8.425309630128907e-05,0.0,0.26303816665262447,0.027803521779425393,0.02628696604600219,0.0,0.001263796444519336,0.1881371640407785,0.05527003117364563,0.012637964445193361,0.03066812705366922,0.0028646052742438283,0.0,0.0,0.030499620861066643,0.008678068919032774,0.0,0.00033701238520515627,0.003959895526160586,0.01819866880107844,0.010278877748757267,8.425309630128907e-05,0.002527592889038672,0.0,0.0,0.0,0.0007582778667116017,0.0002527592889038672,0.0,0.00033701238520515627,0.0,0.0,0.0,0.0,0.0006740247704103125,0.0,0.0,8.425309630128907e-05,0.0,0.0010110371556154689,0.0,0.0,0.0,0.0004212654815064454,0.0005055185778077344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s,0.00781676058898382,0.11588802035993456,0.04262861297945828,9.089256498818396e-05,0.031357934920923466,0.002544991819669151,0.009361934193782949,0.09680058171241593,0.008998363933830213,0.0,0.403653881112525,0.002999454644610071,0.029085620796218868,0.0,0.05108162152335939,0.0,0.003999272859480095,0.12243228503908381,0.03726595164515543,0.0002726776949645519,0.0,0.0,0.00018178512997636792,0.0,0.0,0.0002726776949645519,9.089256498818396e-05,0.025813488456644246,0.0013633884748227596,0.0,0.002635884384657335,0.0,0.0,0.0,0.0,0.0,0.0,0.0008180330848936557,0.0,0.0,0.0,0.0,0.00036357025995273584,0.0,0.0,0.0,0.0,0.0006362479549172878,0.0,0.0,0.0,0.0006362479549172878,0.0006362479549172878,0.0,0.0,9.089256498818396e-05,0.00018178512997636792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m,0.0,0.2454568085636047,0.1321882001493652,0.00024894199651481205,0.044062733383121735,0.0,0.0004978839930296241,0.17625093353248694,0.05476723923325865,0.0,0.0007468259895444362,0.0,0.1055514065222803,0.0,0.1633059497137167,0.0007468259895444362,0.0,0.0,0.0004978839930296241,0.0,0.0,0.0,0.07393577296489919,0.0,0.0,0.0,0.0,0.0004978839930296241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012447099825740602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t,0.13340614760493055,0.25276954283039477,0.22983304727726633,0.0,0.04415665470432205,0.0,0.0003120611639881417,0.13106568887501951,0.02231237322515213,0.0,0.0012482446559525667,0.00015603058199407084,0.0,0.0,0.18224371976907475,0.00015603058199407084,0.0,0.0006241223279762834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009361834919644251,0.00015603058199407084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006241223279762834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
",",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970622796709753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005875440658049354,0.0005875440658049354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005875440658049354,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750881316098707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,0.0,0.2574055158324821,0.2676200204290092,0.0,0.0040858018386108275,0.0,0.0,0.19918283963227784,0.03677221654749745,0.0,0.0,0.0,0.0,0.0,0.23391215526046988,0.0,0.0,0.0,0.0010214504596527069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
