,w,i,e,d,r,a,u,f,n,h,m, ,s,t,z,g,p,o,c,k,l,ã,¤,",",1,7,.,b,¼,j,ÿ,¶,"""",-,v,(,),x,?,4,3,6,q,!,y,9,8,­,¡,0,„,:,³,;,5,2,/,–,%,œ,â,º,©
m,0.01234679163662581,0.07436914203316511,0.13560442201393896,0.04230954097572699,0.0640591204037491,0.04133621725546743,0.033177120884402785,0.013746695505888008,0.08476928622927181,0.03470920451814467,0.024206921413121845,0.13208964191300168,0.04771689497716895,0.04834775294400385,0.009811343427060804,0.026165585195866377,0.008062965633261235,0.02317351598173516,0.02315549146839702,0.011565729391973083,0.025192261475606825,0.018817591925018026,0.005875991348233598,0.01064647921172795,0.000787070415765441,0.00011415525114155251,0.005749819754866619,0.01481014179283826,0.005365296803652968,0.0010814708002883922,0.0037791396298966595,0.002054794520547945,9.613073780341265e-05,0.0015801490026435953,0.007173756308579669,0.00027036770007209804,0.00027036770007209804,0.0003004085556356645,0.00013818793559240567,0.00014419610670511897,0.00011415525114155251,0.00016822879115597212,0.00014419610670511897,0.00034246575342465754,0.0001922614756068253,0.0009372746935832733,0.00013217976447969237,1.201634222542658e-05,1.802451333813987e-05,0.0009252583513578467,0.0003004085556356645,0.00022230233117039174,3.004085556356645e-05,0.00011415525114155251,0.00028839221341023794,0.0005527517423696227,0.00023431867339581832,7.810622446527277e-05,9.012256669069935e-05,7.810622446527277e-05,2.403268445085316e-05,1.802451333813987e-05,1.201634222542658e-05
 ,0.01779032827391458,0.0709821064921665,0.1260474082923783,0.058562545819870214,0.06032202883597165,0.044258600559341825,0.03561867006978196,0.016193760351896604,0.07973064704444867,0.03492356566835917,0.023883352792636238,0.11538190013304733,0.05081864834776942,0.04448125118792256,0.013011485514132884,0.02762496945341986,0.010236498411577833,0.021282141790436884,0.02115180971517011,0.014059572619403188,0.02460017920660349,0.01722555594775856,0.005311032067121019,0.009535963507018925,0.0010969616334953432,0.00011404056585842678,0.005169838985582014,0.018870998398001576,0.0048494393005511964,0.001743191506693095,0.003415786472616688,0.001857232072551522,0.00017377610035569795,0.0020418691791794508,0.01141491759211491,0.0003041081756224714,0.00025523364739743135,0.0002769556599418936,0.00012490157213065792,0.00015748459094735127,0.00013033207526677346,0.00016291509408346684,0.00020092861603627577,0.000309538678758587,0.00017377610035569795,0.0008797415080507209,0.00013576257840288903,1.0861006272231122e-05,1.6291509408346682e-05,0.0008362974829617964,0.00027152515680577805,0.00020092861603627577,2.7152515680577806e-05,0.00010317955958619565,0.0002823861630780092,0.0007874229547367563,0.00021178962230850688,7.05965407695023e-05,0.00015748459094735127,7.05965407695023e-05,3.2583018816693364e-05,1.6291509408346682e-05,1.0861006272231122e-05
s,0.012220829868715378,0.07474205675336995,0.13352735193881973,0.04130019792240037,0.0625914951924766,0.04050382376708398,0.03205405975148442,0.013684752948341082,0.08267066415262277,0.03407427360136789,0.020904821577055054,0.13209270732078654,0.04942204316816377,0.05456919671612775,0.009632613863937134,0.02575919050909389,0.009140735709182897,0.024506072352934286,0.028242004052139086,0.011395177251806481,0.024763722814948413,0.017408973262908873,0.005726867087495755,0.010622225865764109,0.000767095693723869,0.00011125815405155352,0.005721011395177252,0.014832468642767634,0.005229133240423015,0.0010657360019675126,0.003683230468338272,0.0020026467729279632,9.369107709604506e-05,0.0016337381568622858,0.007161511705528945,0.00023422769274011266,0.00029864030824364364,0.00029278461592514084,0.0001405366156440676,0.0001405366156440676,0.00011125815405155352,0.00016395938491807886,0.00016981507723658169,0.0003337744621546605,0.00024008338505861548,0.0009134880016864394,0.00012882523100706198,1.1711384637005633e-05,1.756707695550845e-05,0.0009017766170494338,0.00029278461592514084,0.0002517947696956211,2.9278461592514083e-05,0.00012296953868855915,0.0002810732312881352,0.0005387236933022591,0.00023422769274011266,7.612400014053662e-05,8.783538477754225e-05,7.612400014053662e-05,2.3422769274011266e-05,1.756707695550845e-05,1.1711384637005633e-05
t,0.012821413105813232,0.0738738106105825,0.13869480238287513,0.04117364792902871,0.06525988085624335,0.04077572182624674,0.03346675561485435,0.01338904298772281,0.08272181454302868,0.03403438549676392,0.020768231452547314,0.13417131889095654,0.048523577121589834,0.048330465924651525,0.011124375314537176,0.025865196680828154,0.007648373769647602,0.022553047060613507,0.022541343351708158,0.011200449422421965,0.02599393747878703,0.01821682291118055,0.00572311365471718,0.012125042425944782,0.000766592933300563,0.000111185234600845,0.006788151165104221,0.014565265732710697,0.005225706026239715,0.0010533338014816894,0.0036808164507332376,0.0020013342228152103,9.362967124281684e-05,0.001539037721053802,0.007022225343211263,0.00023407417810704213,0.00026333345037042236,0.00029259272263380267,0.0001638519246749295,0.00014044450686422527,0.000111185234600845,0.0001638519246749295,0.00014629636131690134,0.0004271853750453519,0.0001872593424856337,0.0009128892946174643,0.00012874079795887318,1.1703708905352106e-05,1.755556335802816e-05,0.0009011855857121122,0.00029259272263380267,0.00026333345037042236,2.9259272263380266e-05,0.00012874079795887318,0.00028088901372845055,0.0005383706096461968,0.00022822232365436607,7.607410788478869e-05,8.77778167901408e-05,7.607410788478869e-05,2.340741781070421e-05,1.755556335802816e-05,1.1703708905352106e-05
z,0.013019218846869188,0.07305228352965489,0.13380256008168923,0.042765277220621664,0.06479219089991856,0.040552860945990296,0.037544217935159184,0.013839757849823128,0.0857311306419654,0.0351129912597401,0.021540668344213074,0.12970594313360806,0.04787693130569028,0.04906215430995709,0.009895092568955667,0.02642135589511688,0.007889330561734924,0.023096653416481285,0.023412712884285765,0.011627341575191763,0.025509645891834725,0.017966765131347023,0.005944349221399657,0.010685241238466868,0.0007962267361997496,0.00011548326708240642,0.005792397554185965,0.01489734145363043,0.005427713552873102,0.0010940520039385872,0.0038231039470965076,0.002078698807483316,9.72490670167633e-05,0.0015924534723994993,0.007245055492748866,0.00024312266754190827,0.0002735130009846468,0.0003039033344273853,0.00013979553383659725,0.00014587360052514497,0.00011548326708240642,0.0001701858672793358,0.00014587360052514497,0.00034644980124721926,0.0001944981340335266,0.0009481784034134422,0.00013371746714804954,1.2156133377095413e-05,1.823420006564312e-05,0.0009360222700363468,0.0003039033344273853,0.00022488846747626516,3.0390333442738534e-05,0.00011548326708240642,0.00029174720105028994,0.000559182135346389,0.00023704460085336056,7.901486695112019e-05,9.11710003282156e-05,7.901486695112019e-05,2.4312266754190826e-05,1.823420006564312e-05,1.2156133377095413e-05
g,0.012239602018607543,0.0723314438784052,0.1414221137978044,0.04207624787735285,0.06512042285522948,0.040419985171366385,0.0332269020114324,0.013662672502451508,0.08451723230728755,0.03455430389132046,0.02117863720073665,0.13210638348759896,0.048276769271244406,0.04859965080959556,0.009752218315754227,0.02598598454952046,0.007767094783669369,0.022685417713042024,0.02303221640238215,0.011850948315036712,0.02618928033292674,0.017698691731840903,0.00584774341680419,0.010966013728444668,0.0007832866948889048,0.00011360646719762742,0.0058357848413097034,0.014637296405252206,0.005339503958288488,0.0010762717945038388,0.003760971993016192,0.0020449164095572934,9.566860395589677e-05,0.0015725526775250533,0.00712731099471431,0.00023917150988974194,0.0002690679486259597,0.0002989643873621774,0.00013752361818660162,0.00014350290593384516,0.00011360646719762742,0.00016742005692281934,0.00014350290593384516,0.00034081940159288223,0.00019133720791179355,0.0009327688885699936,0.00013154433043935807,1.1958575494487097e-05,1.7937863241730645e-05,0.0009208103130755065,0.0002989643873621774,0.0002331922221424984,2.9896438736217742e-05,0.00011360646719762742,0.0002870058118676903,0.0005500944727464065,0.0002331922221424984,7.773074071416613e-05,8.968931620865323e-05,7.773074071416613e-05,2.3917150988974194e-05,1.7937863241730645e-05,1.1958575494487097e-05
p,0.012454627396526103,0.07196277619430437,0.13304830811956442,0.04285122658286438,0.06767521742307973,0.041645350678457455,0.03341737922970109,0.014129455041535725,0.08590343248312991,0.03533581816853029,0.02157178006772394,0.12946722210041658,0.047979244317766574,0.048904967234280984,0.009914979658456967,0.026468367073497527,0.00800872128431874,0.023989622158883287,0.023459767594825695,0.011656800409266973,0.025816706862530146,0.01844137494214232,0.005956296133888767,0.010700626081025117,0.0007978269872591293,0.0001157153645643012,0.005797948792906039,0.014909011181758386,0.005438622134522156,0.0010962508221881166,0.0038307875953129187,0.0020828765621574217,9.744451752783258e-05,0.0016078345392092376,0.007259616555823528,0.00024361129381958148,0.00027406270554702916,0.00030451411727447684,0.00014007649394625935,0.00014616677629174888,0.0001157153645643012,0.00017052790567370703,0.00014616677629174888,0.0003471460936929036,0.00019488903505566517,0.0009500840458963678,0.0001339862116007698,1.2180564690979073e-05,1.827084703646861e-05,0.0009379034812053887,0.00030451411727447684,0.00022534044678311287,3.0451411727447685e-05,0.0001157153645643012,0.00029233355258349777,0.0005603059757850374,0.00023752101147409195,7.917367049136398e-05,9.135423518234305e-05,7.917367049136398e-05,2.4361129381958146e-05,1.827084703646861e-05,1.2180564690979073e-05
o,0.012508774140134267,0.07070907051108992,0.13051120990142967,0.04295579033254741,0.06793134272841261,0.03993808606756538,0.03261280394521337,0.013978630094250764,0.09132305034106658,0.03513855642147069,0.02325372113532874,0.12808744743015185,0.04783931174744875,0.04827126941559727,0.010163004025605491,0.02677537601315071,0.00877713984029565,0.02277976758277689,0.024039644114876742,0.011740849396759118,0.02724932956570256,0.017800255574953655,0.00586742499235075,0.010576963457581157,0.0007859229795480043,0.00011398882909474871,0.005711440278852673,0.01519651074194729,0.00535747496745319,0.0011398882909474872,0.0037736301842419442,0.0020517989237054768,9.599059292189365e-05,0.001613841843499337,0.0071932950570844055,0.00023997648230473414,0.0002699735425928259,0.00032396825111139107,0.00013798647732522212,0.00014398588938284047,0.00011398882909474871,0.0001679835376133139,0.00014398588938284047,0.00034196648728424613,0.0001919811858437873,0.0009359082809884631,0.00013198706526760376,1.1998824115236706e-05,1.799823617285506e-05,0.0009239094568732264,0.00029997060288091765,0.00022197824613187907,2.9997060288091767e-05,0.00011398882909474871,0.00028797177876568094,0.0005519459093008885,0.00023397707024711578,7.799235674903859e-05,8.99911808642753e-05,7.799235674903859e-05,2.3997648230473413e-05,1.799823617285506e-05,1.1998824115236706e-05
c,0.012263868065967017,0.07070464767616191,0.1305247376311844,0.042194902548725634,0.06394602698650674,0.039940029985007494,0.03253973013493253,0.013655172413793104,0.08458770614692654,0.05616191904047976,0.021241379310344827,0.12744227886056972,0.047232383808095954,0.04790404797601199,0.00976311844077961,0.02606296851574213,0.007784107946026986,0.022782608695652174,0.023112443778110944,0.012599700149925038,0.02507946026986507,0.017565217391304348,0.005865067466266867,0.010518740629685157,0.0007856071964017991,0.00011394302848575712,0.005703148425787107,0.014680659670164917,0.005355322338830584,0.0010794602698650675,0.0037721139430284857,0.002050974512743628,9.595202398800599e-05,0.0015772113943028486,0.007148425787106447,0.000239880059970015,0.00027586206896551725,0.0002998500749625187,0.00013793103448275863,0.000143928035982009,0.00011394302848575712,0.0001679160419790105,0.000143928035982009,0.00034182908545727134,0.00019190404797601198,0.0009355322338830585,0.00013193403298350823,1.1994002998500749e-05,1.7991004497751124e-05,0.0009235382308845577,0.0002998500749625187,0.00022188905547226387,2.9985007496251875e-05,0.00011394302848575712,0.000335832083958021,0.0005517241379310345,0.00023388305847076463,7.796101949025488e-05,8.995502248875562e-05,7.796101949025488e-05,2.3988005997001498e-05,1.7991004497751124e-05,1.1994002998500749e-05
k,0.012480963042515366,0.07153041969286031,0.13389882956841473,0.04269132521494318,0.06497139147265656,0.041168368616172464,0.033438302055081276,0.013827960512344443,0.085619285120532,0.03506440710874881,0.021515554180242823,0.12954232423806664,0.04819459866149711,0.050597350904976,0.009944724563287644,0.026381734228904625,0.007875687909180818,0.02591453240378373,0.023372226368385606,0.011607234953977587,0.026278585774007802,0.018275479185248557,0.00593406993465242,0.010769912202462215,0.0007948498583225634,0.00011528356723762371,0.005800583698903593,0.014871580173653457,0.005418327660168314,0.0010921601106722246,0.0038164928311823845,0.0020751042102772265,9.708089872641996e-05,0.0015836321604747255,0.007238594511288689,0.00025483735915685237,0.00027304002766805616,0.0003033778085200624,0.0001395537919192287,0.00014562134808962995,0.00011528356723762371,0.00016989157277123493,0.00014562134808962995,0.00035191825788327235,0.00019416179745283991,0.0009465387625825946,0.00013348623574882746,1.2135112340802495e-05,1.8202668511203744e-05,0.0009344036502417922,0.0003033778085200624,0.00022449957830484617,3.0337780852006238e-05,0.00011528356723762371,0.0002912426961792599,0.0005582151676769148,0.00023663469064564866,7.887823021521622e-05,9.101334255601871e-05,7.887823021521622e-05,2.427022468160499e-05,1.8202668511203744e-05,1.2135112340802495e-05
