,r,e,a,n,u,d,c,i,ã,³, ,l,p,­,o,s,m,t,",",v,1,7,b,y,±,q,h,.,g,"""",f,2,0,¡,x,z,(,),k,â,¿,©,?,4,3,j,6,-,º,9,8,:,;,5,¤,/,w,%,!,[,],‰,¼,š
 ,0.052421380745844744,0.11474258410491453,0.08498159484040317,0.052170168261096925,0.029202169655582557,0.05109867011186646,0.04039394219036779,0.04710490428291653,0.016251909727562623,0.0061367621274108705,0.13383473294574835,0.048919786315584406,0.033806022947491465,0.0035067212156633548,0.06291078368041671,0.06562285315861249,0.02550063059460457,0.037240969167512586,0.008741169112143303,0.006418735324576784,0.0011022588616485692,0.0001076624934633486,0.008843704820203637,0.00962297620146216,0.0015431624063079968,0.012437581387718272,0.007946517374675732,0.0052805889651070985,0.008382294133932142,9.228213725429881e-05,0.0074492191905831204,0.0007638910250494735,0.0008202856644826561,0.002255785577327304,0.0013022034923662166,0.0019020373845191588,0.00030760712418099605,0.00025633927015083005,0.00025633927015083005,0.00015893034749351462,0.00011278927886636521,0.0016969659683984948,0.00011278927886636521,0.00015380356209049803,0.0001230428496723984,0.0021840105816850718,0.00015893034749351462,0.0010099767243942704,0.000563946394331826,0.0008459195914977391,0.0001948178453146308,0.00019994463071764743,0.0001435499912844648,0.0002460856993447968,2.0507141612066402e-05,0.00018456427450859762,8.715535185128222e-05,7.17749956422324e-05,5.1267854030166004e-06,1.0253570806033201e-05,5.1267854030166004e-06,1.53803562090498e-05,1.0253570806033201e-05,5.1267854030166004e-06
l,0.05347018850757727,0.11210940831935401,0.09757470643427824,0.054351596485741095,0.029450399476841718,0.038537431406556535,0.034192943049671604,0.051315003838389585,0.0182877939211282,0.006806744192658725,0.1571123937334736,0.040243382332034915,0.023695658354894657,0.0038895681100906995,0.07289528304569105,0.06258565295271673,0.023195246083421002,0.03721247618776833,0.010008245429473145,0.00569787609109778,0.0007619914133803417,0.00010804355861363055,0.00879133376929857,0.006442807995223338,0.001711637428563305,0.00744931904125558,0.005260015353558329,0.006118677319382446,0.008376219044098831,6.823803701913508e-05,0.005868471183645617,0.000523158283813369,0.0009041539905035399,0.0025020613573682863,0.0014329987774018367,0.001933411048875494,0.0002558926388217566,0.0002843251542463962,0.0001933411048875494,0.00013647607403827016,0.0001251030678684143,0.0018822325211111427,0.0001251030678684143,0.00013647607403827016,0.00010804355861363055,0.0021267521537630435,0.00016490858946290979,0.0008131699411446931,0.0006255153393420716,0.0009098404935884678,0.0001705950925478377,0.00021040061414233317,0.00017628159563276563,0.0002558926388217566,2.2746012339711693e-05,0.00020471411105740526,5.686503084927924e-05,7.961104318899092e-05,5.686503084927923e-06,5.686503084927923e-06,5.686503084927923e-06,1.705950925478377e-05,1.1373006169855846e-05,5.686503084927923e-06
p,0.05977598447256994,0.11360787462524478,0.08949067949836234,0.0552124912629323,0.030540745062473645,0.039032308376609495,0.034728760982710716,0.050602785463829986,0.01795359100703009,0.006914558698653481,0.15080323257063305,0.04147002247087163,0.024088312258467012,0.003951176399230561,0.0745697896749522,0.0635654168086741,0.023204496484954915,0.03731088941904998,0.009831728408611715,0.005655265635740816,0.0007740608735334724,0.00010975489997862668,0.008924806340367275,0.006539081409252916,0.00173874867860877,0.007532652082743642,0.005343330656854194,0.005944094319895098,0.008144968893150717,6.931888419702738e-05,0.005938317746212012,0.0005314447788438765,0.0009184752156106127,0.0025416924205576706,0.0014556965681375748,0.001964035052249109,0.00025994581573885264,0.00028882868415428073,0.0002021800789079965,0.00013863776839405476,0.00012708462102788352,0.0019120458891013384,0.00012708462102788352,0.00013863776839405476,0.00010975489997862668,0.00216043855747402,0.00016752063680948283,0.0008029437419489004,0.0006354231051394177,0.0009242517892936983,0.00017329721049256843,0.00020795665259108214,0.00016174406312639722,0.00025994581573885264,2.310629473234246e-05,0.00020795665259108214,5.776573683085614e-05,8.087203156319861e-05,5.776573683085615e-06,5.776573683085615e-06,5.776573683085615e-06,1.7329721049256845e-05,1.155314736617123e-05,5.776573683085615e-06
­,0.055460906781109806,0.11180018038942895,0.08888600685008223,0.05649254567212748,0.029652249267536387,0.03988610706643165,0.035582699121043664,0.05085684978748239,0.018103788767515755,0.007056410014560846,0.15423885682620717,0.040711418179245784,0.024547110526843243,0.004032234294034769,0.07016912982733313,0.06519957791231659,0.02370411417589738,0.038494868333402106,0.010151326687613848,0.005783072869076182,0.0007899406365506712,0.00011200650816763248,0.009113792717218938,0.006667334775662754,0.0017744188925503882,0.007687183507925934,0.005452948423950528,0.00608961699669286,0.008312061921913779,7.074095252692577e-05,0.006148567790465299,0.000542347302706431,0.0009373176209817666,0.0025938349259872783,0.0014855600030654413,0.002004326988262897,0.00026527857197597166,0.00029475396886219075,0.0002004326988262897,0.00014148190505385155,0.00012969174629936392,0.0019512712738677027,0.00012969174629936392,0.00014148190505385155,0.00011200650816763248,0.0022106547664664305,0.0001709573019400706,0.0008194160334368902,0.0006484587314968196,0.0009432127003590103,0.00017685238131731444,0.00021222285758077734,0.0001650622225628268,0.00026527857197597166,2.358031750897526e-05,0.00021222285758077734,5.895079377243814e-05,8.25311112814134e-05,5.895079377243815e-06,5.895079377243815e-06,5.895079377243815e-06,1.7685238131731443e-05,1.179015875448763e-05,5.895079377243815e-06
o,0.06053047816036014,0.10499507792365805,0.08180048446504219,0.06133238947449922,0.027834618234910243,0.03913880255284319,0.034808481456492166,0.0477386100941278,0.01698945901403621,0.006619916158789501,0.16163766881615768,0.04001813978696811,0.024754172704044952,0.0037828092335940007,0.0657235452222677,0.07319514650090146,0.025843666006702872,0.036274043513367035,0.011425853620767843,0.00560231835326129,0.0007410766627216317,0.00010507803426650001,0.010546516386642923,0.006824541804466369,0.0016646572796956056,0.007233793095820107,0.0053755710161598955,0.006885376455883817,0.00847260781559358,7.189549712971054e-05,0.005851187381787211,0.0005087989027641053,0.0008793372341249212,0.002433386056697895,0.0014434403654503423,0.0018969350396531319,0.0002488690285259211,0.0002986428342311053,0.00018803437710847372,0.0001327301485471579,0.00012166930283489475,0.001830569965379553,0.00016591268568394739,0.0001327301485471579,0.00010507803426650001,0.0020739085710493425,0.0001603822628278158,0.0008350938512758686,0.0006083465141744738,0.0008848676569810528,0.00016591268568394739,0.00022674733710139477,0.00018803437710847372,0.0002488690285259211,2.212169142452632e-05,0.00019909522282073687,5.53042285613158e-05,7.742591998584212e-05,5.53042285613158e-06,5.53042285613158e-06,5.53042285613158e-06,1.6591268568394738e-05,1.106084571226316e-05,5.53042285613158e-06
s,0.05272546415413085,0.11246394851931915,0.08478419125206306,0.05312001600435674,0.029869242182594152,0.03770470850398164,0.03393145911942696,0.053859106089991164,0.017615906552339248,0.006651810770709804,0.16974620869014342,0.03856049702418992,0.024917894315674823,0.003801034726119888,0.06907991619940984,0.06113886558007458,0.022567254419258578,0.04310062183594423,0.011736528277142111,0.005457041083406038,0.0007446471539474635,0.00010558429794777467,0.008596784680274075,0.006285044262049113,0.0016726775622252724,0.007263088285144289,0.005145845257875755,0.007296430695022534,0.0079188223460831,6.668481975648927e-05,0.005873821206884096,0.000511250284799751,0.0008835738617734828,0.0024451100577379398,0.0014003812148862746,0.0018894032264338625,0.00025006807408683475,0.00032786703046940556,0.00018894032264338625,0.00013336963951297853,0.000122255502886897,0.0018393896116164956,0.00014448377613906008,0.00013336963951297853,0.00010558429794777467,0.002078343549077249,0.0001611549810781824,0.0008113319737039527,0.0006112775144344849,0.0008891309300865236,0.00016671204939122317,0.0002389539374607532,0.00019449739095642703,0.00025006807408683475,2.222827325216309e-05,0.00020561152758250857,6.668481975648927e-05,7.779895638257081e-05,5.557068313040772e-06,5.557068313040772e-06,5.557068313040772e-06,1.6671204939122317e-05,1.1114136626081544e-05,5.557068313040772e-06
m,0.05435750378687141,0.11533480568435416,0.08856653908860701,0.055265196628239074,0.03010418232484997,0.03906548107720593,0.03471780581154678,0.05397014442144699,0.019026860770324804,0.006920435230045211,0.1509429598880705,0.03992692205404531,0.026525444306973626,0.003954534417168692,0.07241307540210215,0.06362522114172728,0.02322421747626701,0.03705352497022536,0.009851647144525513,0.005660071921649341,0.0007747187308488374,0.0001098481782546859,0.010649491807638495,0.0065388573476868285,0.001740226402876866,0.007539053918111074,0.005347871836083392,0.005960709041083219,0.0081518911231109,6.937779679243319e-05,0.00594336459188511,0.0005318964420753211,0.0009192558074997398,0.0025438525490558838,0.0014569337326410972,0.001965704242452274,0.00028907415330180496,0.00028907415330180496,0.00019657042424522738,0.00013875559358486638,0.0001271926274527942,0.001913670894857949,0.0001271926274527942,0.00013875559358486638,0.0001098481782546859,0.002162274666697501,0.0001676630089150469,0.0008036261461790179,0.0006359631372639709,0.000925037290565776,0.000173444491981083,0.00020813339037729957,0.0001618815258490108,0.0002601667379716245,2.3125932264144398e-05,0.00020813339037729957,5.7814830660361e-05,8.09407629245054e-05,5.7814830660360995e-06,5.7814830660360995e-06,5.7814830660360995e-06,1.7344449198108298e-05,1.1562966132072199e-05,5.7814830660360995e-06
t,0.05849177111965237,0.11737702300436821,0.0927303002999578,0.05450563989096591,0.030298018909887203,0.03853260187730243,0.03424423180008896,0.05398670149066481,0.01832821998426077,0.006826035880883678,0.1489125104072811,0.039387994844831714,0.023745708778612894,0.0039005919319335305,0.07434505411786174,0.06274592547816467,0.022907423670434197,0.03657090067176861,0.009705858871565597,0.005582864768074454,0.0007641510509928261,0.00010834977588704251,0.008810547565551614,0.006449662975170793,0.0017164885548420945,0.007436216197721233,0.005309139018465083,0.00587369837703441,0.008040693894775259,6.843143740234264e-05,0.005862293137467353,0.0005246410200846268,0.0009067165455810399,0.0025091527047525633,0.0014370601854491953,0.0019617012055338223,0.0002566178902587849,0.00028513098917642765,0.0001938890726399708,0.00013686287480468528,0.00012545763523762817,0.001887567148347951,0.00012545763523762817,0.00013686287480468528,0.00010834977588704251,0.0021327797990396786,0.00016537597372232805,0.0007926641499104689,0.0006272881761881408,0.0009124191653645685,0.0001710785935058566,0.0002052943122070279,0.00015967335393879948,0.0002566178902587849,2.2810479134114213e-05,0.0002052943122070279,5.7026197835285533e-05,7.983667696939974e-05,5.702619783528553e-06,5.702619783528553e-06,5.702619783528553e-06,1.710785935058566e-05,1.1405239567057107e-05,5.702619783528553e-06
",",0.05509490128976684,0.11112152873408301,0.08665639228601063,0.056009047705551096,0.029475361996120737,0.03959543161188625,0.03517705726892898,0.050553468775454,0.017995792582522225,0.007014315767267698,0.16291729904893612,0.04046855863721865,0.024400677405933748,0.004008180438438685,0.0695513064675859,0.06447076196447721,0.023539270206444734,0.03755618191513674,0.00997357179272316,0.00573685475033841,0.0007910882444286878,0.00011719825843387967,0.009053565464017204,0.0066275615144358955,0.001763833789429889,0.007641326449888955,0.0054204194525669346,0.006029850396423109,0.008262477219588516,7.03189550603278e-05,0.006023990483501415,0.0005391119887958465,0.0009317261545493434,0.0025783616855453526,0.001476698056266884,0.0019923703933759545,0.00026369608147622925,0.0002929956460846992,0.00019923703933759544,0.0001406379101206556,0.00012891808427726765,0.0019396311770807086,0.00012891808427726765,0.0001406379101206556,0.00011133834551218569,0.00219160743271355,0.0001757973876508195,0.0008145278961154637,0.0006445904213863382,0.0009375860674710373,0.0001757973876508195,0.0002109568651809834,0.00016407756180743154,0.0002754159073196172,2.3439651686775934e-05,0.0002109568651809834,5.8599129216939834e-05,8.203878090371577e-05,5.859912921693984e-06,5.859912921693984e-06,5.859912921693984e-06,1.757973876508195e-05,1.1719825843387967e-05,5.859912921693984e-06
v,0.05532931594557695,0.11307730332846853,0.08856692246127772,0.05624735181959418,0.029624311473094488,0.03976390000470788,0.03532672661362459,0.05191610564474366,0.018284214490843182,0.007044159879478367,0.15362388776422956,0.040640741961301255,0.024504496021844548,0.004025234216844782,0.0711948589991055,0.06474506849959984,0.023639423755943693,0.0377159738242079,0.010021891624688103,0.00576126359399275,0.0007885692763994162,0.0001118120615790217,0.009092086059978344,0.0066557600866249235,0.0017713384492255544,0.007673838331528647,0.005443481945294477,0.006055505861305965,0.008297631938232663,7.06181441551716e-05,0.0060496210159597,0.0005414057718563156,0.0009356904100560237,0.002589331952356292,0.0014829810272586035,0.002000847417729862,0.00026481804058189353,0.000294242267313215,0.00020008474177298622,0.0001412362883103432,0.0001294665976178146,0.0019478838096134833,0.0001294665976178146,0.0001412362883103432,0.0001118120615790217,0.002200932159502848,0.0001706605150416647,0.0008179935031307377,0.000647332988089073,0.000941575255402288,0.000176545360387929,0.0002118544324655148,0.0001647756696954004,0.00026481804058189353,2.3539381385057202e-05,0.0002118544324655148,5.8848453462643e-05,8.23878348477002e-05,5.8848453462643005e-06,5.8848453462643005e-06,5.8848453462643005e-06,1.76545360387929e-05,1.1769690692528601e-05,5.8848453462643005e-06
